Rk,Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed
258,Sekou Doumbouya\doumbse01,DET,3285120.00 $,3449400.00 $,3613680.00 $,5539771.00 $,,,1st Round Pick,6734520.00 $
259,Justin Jackson\jacksju01,DAL,3280920.00 $,5029650.00 $,,,,,1st Round Pick,8310570.00 $
260,Troy Brown\browntr01,WAS,3219480.00 $,3372840.00 $,5170564.00 $,,,,1st Round Pick,6592320.00 $
261,Jon Leuer\leuerjo01,MIL,3169348.00 $,3169348.00 $,3169347.00 $,,,,,9508043.00 $
262,Yogi Ferrell\ferreyo01,SAC,3150000.00 $,,,,,,Cap Space,3150000.00 $
263,Guerschon Yabusele\yabusgu01,BOS,3117240.00 $,,,,,,,3117240.00 $
264,Zhaire Smith\smithzh01,PHI,3058800.00 $,3204600.00 $,4915856.00 $,,,,1st Round Pick,6263400.00 $
265,Dwight Howard\howardw01,MEM,3039097.00 $,,,,,,,3039097.00 $
266,Khem Birch\birchkh01,ORL,3000000.00 $,3000000.00 $,,,,,Early Bird Rights,6000000.00 $
267,Ryan Arcidiacono\arcidry01,CHI,3000000.00 $,3000000.00 $,3000000.00 $,,,,Cap space,6000000.00 $
268,Quinn Cook\cookqu01,LAL,3000000.00 $,3000000.00 $,,,,,Cap Space,4000000.00 $
269,Ömer Aşık\asikom01,CHI,3000000.00 $,,,,,,,3000000.00 $
270,Nickeil Alexander-Walker\alexani01,NOP,2964840.00 $,3113160.00 $,3261480.00 $,5009633.00 $,,,1st Round Pick,6078000.00 $
271,D.J. Wilson\wilsodj01,MIL,2961120.00 $,4548280.00 $,,,,,1st Round Pick,7509400.00 $
272,Cedi Osman\osmande01,CLE,2907143.00 $,8750000.00 $,8050000.00 $,7350000.00 $,6650000.00 $,,MLE,27057143.00 $
273,Donte DiVincenzo\divindo01,MIL,2905800.00 $,3044160.00 $,4675830.00 $,,,,1st Round Pick,5949960.00 $
274,Bryn Forbes\forbebr01,SAS,2875000.00 $,,,,,,Early Bird Rights,2875000.00 $
275,Andrew Nicholson\nichoan01,POR,2844429.00 $,2844429.00 $,2844429.00 $,2844429.00 $,2844429.00 $,,,14222145.00 $
276,Goga Bitadze\bitadgo01,IND,2816760.00 $,2957520.00 $,3098400.00 $,4765339.00 $,,,1st Round Pick,5774280.00 $
277,T.J. Leaf\leaftj01,IND,2813280.00 $,4326825.00 $,,,,,1st Round Pick,7140105.00 $
278,Lonnie Walker\walkelo01,SAS,2760480.00 $,2892000.00 $,4447896.00 $,,,,1st Round Pick,5652480.00 $
279,Alex Caruso\carusal01,LAL,2750000.00 $,2750000.00 $,,,,,Room Exception,5500000.00 $
280,Malik Beasley\beaslma01,MIN,2731714.00 $,,,,,,1st Round pick,2731714.00 $
281,Luka Šamanić\samanlu01,SAS,2689920.00 $,2824320.00 $,2959080.00 $,4556983.00 $,,,1st Round Pick,5514240.00 $
282,John Collins\collijo01,ATL,2686560.00 $,4137302.00 $,,,,,1st Round Pick,6823862.00 $
283,Kevin Huerter\huertke01,ATL,2636280.00 $,2761920.00 $,4253357.00 $,,,,1st Round Pick,5398200.00 $
284,Caris LeVert\leverca01,BRK,2625718.00 $,16203704.00 $,17500000.00 $,18796296.00 $,,,1st Round pick,55125718.00 $
285,Marko Guduric\gudurma01,MEM,2625000.00 $,2750000.00 $,,,,,Bi-annual Exception,5375000.00 $
286,DeAndre' Bembry\bembrde01,ATL,2603982.00 $,,,,,,1st Round pick,2603982.00 $
287,Matisse Thybulle\thybuma01,PHI,2582160.00 $,2711280.00 $,2840160.00 $,4379527.00 $,,,1st Round Pick,5293440.00 $
288,Harry Giles\gilesha01,SAC,2578800.00 $,,,,,,1st Round Pick,2578800.00 $
289,Jeff Green\greenje02,UTA,2564753.00 $,,,,,,,2564753.00 $
290,Pau Gasol\gasolpa01,POR,2564753.00 $,,,,,,,2564753.00 $
291,Wesley Matthews\matthwe02,MIL,2564753.00 $,2692991.00 $,,,,,Minimum Salary,2564753.00 $
292,Kyle Korver\korveky01,MIL,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
293,Udonis Haslem\hasleud01,MIA,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
294,Jared Dudley\dudleja01,LAL,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
295,Rajon Rondo\rondora01,LAL,2564753.00 $,2619605.00 $,,,,,Minimum Salary,2564753.00 $
296,Dwight Howard\howardw01,LAL,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
297,Thabo Sefolosha\sefolth01,HOU,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
298,Tyson Chandler\chandty01,HOU,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
299,Gerald Green\greenge01,DEN,2564753.00 $,,,,,,,2564753.00 $
300,J.J. Barea\bareajo01,DAL,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
301,Wilson Chandler\chandwi01,BRK,2564753.00 $,,,,,,Minimum Salary,2564753.00 $
302,Nenê Hilário\hilarne01,ATL,2564753.00 $,,,,,,,2564753.00 $
